group,variable,value,type
1041,highway-mpg,33,string
1041,price,10295,string
1042,symboling,0,string
1042,normalized-losses,85,string
1042,make,honda,string
1042,fuel-type,gas,string
1042,aspiration,std,string
1042,num-of-doors,four,string
1042,body-style,sedan,string
1042,drive-wheels,fwd,string
1042,engine-location,front,string
1042,wheel-base,96.5,string
1042,length,175.4,string
1042,width,65.2,string
1042,height,54.1,string
1042,curb-weight,2465,string
1042,engine-type,ohc,string
1042,num-of-cylinders,four,string
1042,engine-size,110,string
1042,fuel-system,mpfi,string
1042,bore,3.15,string
1042,stroke,3.58,string
1042,compression-ratio,9,string
1042,horsepower,101,string
1042,peak-rpm,5800,string
1042,city-mpg,24,string
1042,highway-mpg,28,string
1042,price,12945,string
1043,symboling,1,string
1043,normalized-losses,107,string
1043,make,honda,string
1043,fuel-type,gas,string
1043,aspiration,std,string
1043,num-of-doors,two,string
1043,body-style,sedan,string
1043,drive-wheels,fwd,string
1043,engine-location,front,string
1043,wheel-base,96.5,string
1043,length,169.1,string
1043,width,66,string
1043,height,51,string
1043,curb-weight,2293,string
1043,engine-type,ohc,string
1043,num-of-cylinders,four,string
1043,engine-size,110,string
1043,fuel-system,2bbl,string
1043,bore,3.15,string
1043,stroke,3.58,string
1043,compression-ratio,9.1,string
1043,horsepower,100,string
1043,peak-rpm,5500,string
1043,city-mpg,25,string
1043,highway-mpg,31,string
1043,price,10345,string
1044,symboling,0,string
1044,normalized-losses,missing value,string
1044,make,isuzu,string
1044,fuel-type,gas,string
1044,aspiration,std,string
1044,num-of-doors,four,string
1044,body-style,sedan,string
1044,drive-wheels,rwd,string
1044,engine-location,front,string
1044,wheel-base,94.3,string
1044,length,170.7,string
1044,width,61.8,string
1044,height,53.5,string
1044,curb-weight,2337,string
1044,engine-type,ohc,string
1044,num-of-cylinders,four,string
1044,engine-size,111,string
1044,fuel-system,2bbl,string
1044,bore,3.31,string
1044,stroke,3.23,string
1044,compression-ratio,8.5,string
1044,horsepower,78,string
1044,peak-rpm,4800,string
1044,city-mpg,24,string
1044,highway-mpg,29,string
1044,price,6785,string
1045,symboling,1,string
1045,normalized-losses,missing value,string
1045,make,isuzu,string
1045,fuel-type,gas,string
1045,aspiration,std,string
1045,num-of-doors,two,string
1045,body-style,sedan,string
1045,drive-wheels,fwd,string
1045,engine-location,front,string
1045,wheel-base,94.5,string
1045,length,155.9,string
1045,width,63.6,string
1045,height,52,string
1045,curb-weight,1874,string
1045,engine-type,ohc,string
1045,num-of-cylinders,four,string
1045,engine-size,90,string
1045,fuel-system,2bbl,string
1045,bore,3.03,string
1045,stroke,3.11,string
1045,compression-ratio,9.6,string
1045,horsepower,70,string
1045,peak-rpm,5400,string
1045,city-mpg,38,string
1045,highway-mpg,43,string
1045,price,missing value,string
1046,symboling,0,string
1046,normalized-losses,missing value,string
1046,make,isuzu,string
1046,fuel-type,gas,string
1046,aspiration,std,string
1046,num-of-doors,four,string
1046,body-style,sedan,string
1046,drive-wheels,fwd,string
1046,engine-location,front,string
1046,wheel-base,94.5,string
1046,length,155.9,string
1046,width,63.6,string
1046,height,52,string
1046,curb-weight,1909,string
1046,engine-type,ohc,string
1046,num-of-cylinders,four,string
1046,engine-size,90,string
1046,fuel-system,2bbl,string
1046,bore,3.03,string
1046,stroke,3.11,string
1046,compression-ratio,9.6,string
1046,horsepower,70,string
1046,peak-rpm,5400,string
1046,city-mpg,38,string
1046,highway-mpg,43,string
1046,price,missing value,string
1047,symboling,2,string
1047,normalized-losses,missing value,string
1047,make,isuzu,string
1047,fuel-type,gas,string
1047,aspiration,std,string
1047,num-of-doors,two,string
1047,body-style,hatchback,string
1047,drive-wheels,rwd,string
1047,engine-location,front,string
1047,wheel-base,96,string
1047,length,172.6,string
1047,width,65.2,string
1047,height,51.4,string
1047,curb-weight,2734,string
1047,engine-type,ohc,string
1047,num-of-cylinders,four,string
1047,engine-size,119,string
1047,fuel-system,spfi,string
1047,bore,3.43,string
1047,stroke,3.23,string
1047,compression-ratio,9.2,string
1047,horsepower,90,string
1047,peak-rpm,5000,string
1047,city-mpg,24,string
1047,highway-mpg,29,string
1047,price,11048,string
1048,symboling,0,string
1048,normalized-losses,145,string
1048,make,jaguar,string
1048,fuel-type,gas,string
1048,aspiration,std,string
1048,num-of-doors,four,string
1048,body-style,sedan,string
1048,drive-wheels,rwd,string
1048,engine-location,front,string
1048,wheel-base,113,string
1048,length,199.6,string
1048,width,69.6,string
1048,height,52.8,string
1048,curb-weight,4066,string
1048,engine-type,dohc,string
1048,num-of-cylinders,six,string
1048,engine-size,258,string
1048,fuel-system,mpfi,string
1048,bore,3.63,string
1048,stroke,4.17,string
1048,compression-ratio,8.1,string
1048,horsepower,176,string
1048,peak-rpm,4750,string
1048,city-mpg,15,string
1048,highway-mpg,19,string
1048,price,32250,string
1049,symboling,0,string
1049,normalized-losses,missing value,string
1049,make,jaguar,string
1049,fuel-type,gas,string
1049,aspiration,std,string
1049,num-of-doors,four,string
1049,body-style,sedan,string
1049,drive-wheels,rwd,string
1049,engine-location,front,string
1049,wheel-base,113,string
1049,length,199.6,string
1049,width,69.6,string
1049,height,52.8,string
1049,curb-weight,4066,string
1049,engine-type,dohc,string
1049,num-of-cylinders,six,string
1049,engine-size,258,string
1049,fuel-system,mpfi,string
1049,bore,3.63,string
1049,stroke,4.17,string
1049,compression-ratio,8.1,string
1049,horsepower,176,string
1049,peak-rpm,4750,string
1049,city-mpg,15,string
1049,highway-mpg,19,string
1049,price,35550,string
1050,symboling,0,string
1050,normalized-losses,missing value,string
1050,make,jaguar,string
1050,fuel-type,gas,string
1050,aspiration,std,string
1050,num-of-doors,two,string
1050,body-style,sedan,string
1050,drive-wheels,rwd,string
1050,engine-location,front,string
1050,wheel-base,102,string
1050,length,191.7,string
1050,width,70.6,string
1050,height,47.8,string
1050,curb-weight,3950,string
1050,engine-type,ohcv,string
1050,num-of-cylinders,twelve,string
1050,engine-size,326,string
1050,fuel-system,mpfi,string
1050,bore,3.54,string
1050,stroke,2.76,string
1050,compression-ratio,11.5,string
1050,horsepower,262,string
1050,peak-rpm,5000,string
1050,city-mpg,13,string
1050,highway-mpg,17,string
1050,price,36000,string
1051,symboling,1,string
1051,normalized-losses,104,string
1051,make,mazda,string
1051,fuel-type,gas,string
1051,aspiration,std,string
1051,num-of-doors,two,string
1051,body-style,hatchback,string
1051,drive-wheels,fwd,string
1051,engine-location,front,string
1051,wheel-base,93.1,string
1051,length,159.1,string
1051,width,64.2,string
1051,height,54.1,string
1051,curb-weight,1890,string
1051,engine-type,ohc,string
1051,num-of-cylinders,four,string
1051,engine-size,91,string
1051,fuel-system,2bbl,string
1051,bore,3.03,string
1051,stroke,3.15,string
1051,compression-ratio,9,string
1051,horsepower,68,string
1051,peak-rpm,5000,string
1051,city-mpg,30,string
1051,highway-mpg,31,string
1051,price,5195,string
1052,symboling,1,string
1052,normalized-losses,104,string
1052,make,mazda,string
1052,fuel-type,gas,string
1052,aspiration,std,string
1052,num-of-doors,two,string
1052,body-style,hatchback,string
1052,drive-wheels,fwd,string
1052,engine-location,front,string
1052,wheel-base,93.1,string
1052,length,159.1,string
1052,width,64.2,string
1052,height,54.1,string
1052,curb-weight,1900,string
1052,engine-type,ohc,string
1052,num-of-cylinders,four,string
1052,engine-size,91,string
1052,fuel-system,2bbl,string
1052,bore,3.03,string
1052,stroke,3.15,string
1052,compression-ratio,9,string
1052,horsepower,68,string
1052,peak-rpm,5000,string
1052,city-mpg,31,string
1052,highway-mpg,38,string
1052,price,6095,string
1053,symboling,1,string
1053,normalized-losses,104,string
1053,make,mazda,string
1053,fuel-type,gas,string
1053,aspiration,std,string
1053,num-of-doors,two,string
1053,body-style,hatchback,string
1053,drive-wheels,fwd,string
1053,engine-location,front,string
1053,wheel-base,93.1,string
1053,length,159.1,string
1053,width,64.2,string
1053,height,54.1,string
1053,curb-weight,1905,string
1053,engine-type,ohc,string
1053,num-of-cylinders,four,string
1053,engine-size,91,string
1053,fuel-system,2bbl,string
1053,bore,3.03,string
1053,stroke,3.15,string
1053,compression-ratio,9,string
1053,horsepower,68,string
1053,peak-rpm,5000,string
1053,city-mpg,31,string
1053,highway-mpg,38,string
1053,price,6795,string
1054,symboling,1,string
1054,normalized-losses,113,string
1054,make,mazda,string
1054,fuel-type,gas,string
1054,aspiration,std,string
1054,num-of-doors,four,string
1054,body-style,sedan,string
1054,drive-wheels,fwd,string
1054,engine-location,front,string
1054,wheel-base,93.1,string
1054,length,166.8,string
1054,width,64.2,string
1054,height,54.1,string
1054,curb-weight,1945,string
1054,engine-type,ohc,string
1054,num-of-cylinders,four,string
1054,engine-size,91,string
1054,fuel-system,2bbl,string
1054,bore,3.03,string
1054,stroke,3.15,string
1054,compression-ratio,9,string
1054,horsepower,68,string
1054,peak-rpm,5000,string
1054,city-mpg,31,string
1054,highway-mpg,38,string
1054,price,6695,string
1055,symboling,1,string
1055,normalized-losses,113,string
1055,make,mazda,string
1055,fuel-type,gas,string
1055,aspiration,std,string
1055,num-of-doors,four,string
1055,body-style,sedan,string
1055,drive-wheels,fwd,string
1055,engine-location,front,string
1055,wheel-base,93.1,string
1055,length,166.8,string
1055,width,64.2,string
1055,height,54.1,string
1055,curb-weight,1950,string
1055,engine-type,ohc,string
1055,num-of-cylinders,four,string
1055,engine-size,91,string
1055,fuel-system,2bbl,string
1055,bore,3.08,string
1055,stroke,3.15,string
1055,compression-ratio,9,string
1055,horsepower,68,string
1055,peak-rpm,5000,string
1055,city-mpg,31,string
1055,highway-mpg,38,string
1055,price,7395,string
1056,symboling,3,string
1056,normalized-losses,150,string
1056,make,mazda,string
1056,fuel-type,gas,string
1056,aspiration,std,string
1056,num-of-doors,two,string
1056,body-style,hatchback,string
1056,drive-wheels,rwd,string
1056,engine-location,front,string
1056,wheel-base,95.3,string
1056,length,169,string
1056,width,65.7,string
1056,height,49.6,string
1056,curb-weight,2380,string
1056,engine-type,rotor,string
1056,num-of-cylinders,two,string
1056,engine-size,70,string
1056,fuel-system,4bbl,string
1056,bore,missing value,string
1056,stroke,missing value,string
1056,compression-ratio,9.4,string
1056,horsepower,101,string
1056,peak-rpm,6000,string
1056,city-mpg,17,string
1056,highway-mpg,23,string
1056,price,10945,string
1057,symboling,3,string
1057,normalized-losses,150,string
1057,make,mazda,string
1057,fuel-type,gas,string
1057,aspiration,std,string
1057,num-of-doors,two,string
1057,body-style,hatchback,string
1057,drive-wheels,rwd,string
1057,engine-location,front,string
1057,wheel-base,95.3,string
1057,length,169,string
1057,width,65.7,string
1057,height,49.6,string
1057,curb-weight,2380,string
1057,engine-type,rotor,string
1057,num-of-cylinders,two,string
1057,engine-size,70,string
1057,fuel-system,4bbl,string
1057,bore,missing value,string
1057,stroke,missing value,string
1057,compression-ratio,9.4,string
1057,horsepower,101,string
1057,peak-rpm,6000,string
1057,city-mpg,17,string
1057,highway-mpg,23,string
1057,price,11845,string
1058,symboling,3,string
1058,normalized-losses,150,string
1058,make,mazda,string
1058,fuel-type,gas,string
1058,aspiration,std,string
1058,num-of-doors,two,string
1058,body-style,hatchback,string
1058,drive-wheels,rwd,string
1058,engine-location,front,string
1058,wheel-base,95.3,string
1058,length,169,string
1058,width,65.7,string
1058,height,49.6,string
1058,curb-weight,2385,string
1058,engine-type,rotor,string
1058,num-of-cylinders,two,string
1058,engine-size,70,string
1058,fuel-system,4bbl,string
1058,bore,missing value,string
1058,stroke,missing value,string
1058,compression-ratio,9.4,string
1058,horsepower,101,string
1058,peak-rpm,6000,string
1058,city-mpg,17,string
1058,highway-mpg,23,string
1058,price,13645,string
1059,symboling,3,string
1059,normalized-losses,150,string
1059,make,mazda,string
1059,fuel-type,gas,string
1059,aspiration,std,string
1059,num-of-doors,two,string
1059,body-style,hatchback,string
1059,drive-wheels,rwd,string
1059,engine-location,front,string
1059,wheel-base,95.3,string
1059,length,169,string
1059,width,65.7,string
1059,height,49.6,string
1059,curb-weight,2500,string
1059,engine-type,rotor,string
1059,num-of-cylinders,two,string
1059,engine-size,80,string
1059,fuel-system,mpfi,string
1059,bore,missing value,string
1059,stroke,missing value,string
1059,compression-ratio,9.4,string
1059,horsepower,135,string
1059,peak-rpm,6000,string
1059,city-mpg,16,string
1059,highway-mpg,23,string
1059,price,15645,string
1060,symboling,1,string
1060,normalized-losses,129,string
1060,make,mazda,string
1060,fuel-type,gas,string
1060,aspiration,std,string
1060,num-of-doors,two,string
1060,body-style,hatchback,string
1060,drive-wheels,fwd,string
1060,engine-location,front,string
1060,wheel-base,98.8,string
1060,length,177.8,string
1060,width,66.5,string
1060,height,53.7,string
1060,curb-weight,2385,string
1060,engine-type,ohc,string
1060,num-of-cylinders,four,string
1060,engine-size,122,string
1060,fuel-system,2bbl,string
1060,bore,3.39,string
1060,stroke,3.39,string
1060,compression-ratio,8.6,string
1060,horsepower,84,string
1060,peak-rpm,4800,string
1060,city-mpg,26,string
1060,highway-mpg,32,string
1060,price,8845,string
1061,symboling,0,string
1061,normalized-losses,115,string
1061,make,mazda,string
1061,fuel-type,gas,string
1061,aspiration,std,string
1061,num-of-doors,four,string
1061,body-style,sedan,string
1061,drive-wheels,fwd,string
1061,engine-location,front,string
1061,wheel-base,98.8,string
1061,length,177.8,string
1061,width,66.5,string
1061,height,55.5,string
1061,curb-weight,2410,string
1061,engine-type,ohc,string
1061,num-of-cylinders,four,string
1061,engine-size,122,string
1061,fuel-system,2bbl,string
1061,bore,3.39,string
1061,stroke,3.39,string
1061,compression-ratio,8.6,string
1061,horsepower,84,string
1061,peak-rpm,4800,string
1061,city-mpg,26,string
1061,highway-mpg,32,string
1061,price,8495,string
1062,symboling,1,string
1062,normalized-losses,129,string
1062,make,mazda,string
1062,fuel-type,gas,string
1062,aspiration,std,string
1062,num-of-doors,two,string
1062,body-style,hatchback,string
1062,drive-wheels,fwd,string
1062,engine-location,front,string
1062,wheel-base,98.8,string
1062,length,177.8,string
1062,width,66.5,string
1062,height,53.7,string
1062,curb-weight,2385,string
1062,engine-type,ohc,string
1062,num-of-cylinders,four,string
1062,engine-size,122,string
1062,fuel-system,2bbl,string
1062,bore,3.39,string
1062,stroke,3.39,string
1062,compression-ratio,8.6,string
1062,horsepower,84,string
1062,peak-rpm,4800,string
1062,city-mpg,26,string
1062,highway-mpg,32,string
1062,price,10595,string
1063,symboling,0,string
1063,normalized-losses,115,string
1063,make,mazda,string
1063,fuel-type,gas,string
1063,aspiration,std,string
1063,num-of-doors,four,string
1063,body-style,sedan,string
1063,drive-wheels,fwd,string
1063,engine-location,front,string
1063,wheel-base,98.8,string
1063,length,177.8,string
1063,width,66.5,string
1063,height,55.5,string
1063,curb-weight,2410,string
1063,engine-type,ohc,string
1063,num-of-cylinders,four,string
1063,engine-size,122,string
1063,fuel-system,2bbl,string
1063,bore,3.39,string
1063,stroke,3.39,string
1063,compression-ratio,8.6,string
1063,horsepower,84,string
1063,peak-rpm,4800,string
1063,city-mpg,26,string
1063,highway-mpg,32,string
1063,price,10245,string
1064,symboling,0,string
1064,normalized-losses,missing value,string
1064,make,mazda,string
1064,fuel-type,diesel,string
1064,aspiration,std,string
1064,num-of-doors,missing value,string
1064,body-style,sedan,string
1064,drive-wheels,fwd,string
1064,engine-location,front,string
1064,wheel-base,98.8,string
1064,length,177.8,string
1064,width,66.5,string
1064,height,55.5,string
1064,curb-weight,2443,string
1064,engine-type,ohc,string
1064,num-of-cylinders,four,string
1064,engine-size,122,string
1064,fuel-system,idi,string
1064,bore,3.39,string
1064,stroke,3.39,string
1064,compression-ratio,22.7,string
1064,horsepower,64,string
1064,peak-rpm,4650,string
1064,city-mpg,36,string
1064,highway-mpg,42,string
1064,price,10795,string
1065,symboling,0,string
1065,normalized-losses,115,string
1065,make,mazda,string
1065,fuel-type,gas,string
1065,aspiration,std,string
1065,num-of-doors,four,string
1065,body-style,hatchback,string
1065,drive-wheels,fwd,string
1065,engine-location,front,string
1065,wheel-base,98.8,string
1065,length,177.8,string
1065,width,66.5,string
1065,height,55.5,string
1065,curb-weight,2425,string
1065,engine-type,ohc,string
1065,num-of-cylinders,four,string
1065,engine-size,122,string
1065,fuel-system,2bbl,string
1065,bore,3.39,string
1065,stroke,3.39,string
1065,compression-ratio,8.6,string
1065,horsepower,84,string
1065,peak-rpm,4800,string
1065,city-mpg,26,string
1065,highway-mpg,32,string
1065,price,11245,string
1066,symboling,0,string
1066,normalized-losses,118,string
1066,make,mazda,string
1066,fuel-type,gas,string
1066,aspiration,std,string
1066,num-of-doors,four,string
1066,body-style,sedan,string
1066,drive-wheels,rwd,string
1066,engine-location,front,string
1066,wheel-base,104.9,string
1066,length,175,string
1066,width,66.1,string
1066,height,54.4,string
1066,curb-weight,2670,string
1066,engine-type,ohc,string
1066,num-of-cylinders,four,string
1066,engine-size,140,string
1066,fuel-system,mpfi,string
1066,bore,3.76,string
1066,stroke,3.16,string
1066,compression-ratio,8,string
1066,horsepower,120,string
1066,peak-rpm,5000,string
1066,city-mpg,19,string
1066,highway-mpg,27,string
1066,price,18280,string
1067,symboling,0,string
1067,normalized-losses,missing value,string
1067,make,mazda,string
1067,fuel-type,diesel,string
1067,aspiration,std,string
1067,num-of-doors,four,string
1067,body-style,sedan,string
1067,drive-wheels,rwd,string
1067,engine-location,front,string
1067,wheel-base,104.9,string
1067,length,175,string
1067,width,66.1,string
1067,height,54.4,string
1067,curb-weight,2700,string
1067,engine-type,ohc,string
1067,num-of-cylinders,four,string
1067,engine-size,134,string
1067,fuel-system,idi,string
1067,bore,3.43,string
1067,stroke,3.64,string
1067,compression-ratio,22,string
1067,horsepower,72,string
1067,peak-rpm,4200,string
1067,city-mpg,31,string
1067,highway-mpg,39,string
1067,price,18344,string
1068,symboling,-1,string
1068,normalized-losses,93,string
1068,make,mercedes-benz,string
1068,fuel-type,diesel,string
1068,aspiration,turbo,string
1068,num-of-doors,four,string
1068,body-style,sedan,string
1068,drive-wheels,rwd,string
1068,engine-location,front,string
1068,wheel-base,110,string
1068,length,190.9,string
1068,width,70.3,string
1068,height,56.5,string
1068,curb-weight,3515,string
1068,engine-type,ohc,string
1068,num-of-cylinders,five,string
1068,engine-size,183,string
1068,fuel-system,idi,string
1068,bore,3.58,string
1068,stroke,3.64,string
1068,compression-ratio,21.5,string
1068,horsepower,123,string
1068,peak-rpm,4350,string
1068,city-mpg,22,string
1068,highway-mpg,25,string
1068,price,25552,string
1069,symboling,-1,string
1069,normalized-losses,93,string
1069,make,mercedes-benz,string
1069,fuel-type,diesel,string
1069,aspiration,turbo,string
1069,num-of-doors,four,string
1069,body-style,wagon,string
1069,drive-wheels,rwd,string
1069,engine-location,front,string
1069,wheel-base,110,string
1069,length,190.9,string
1069,width,70.3,string
1069,height,58.7,string
1069,curb-weight,3750,string
1069,engine-type,ohc,string
1069,num-of-cylinders,five,string
1069,engine-size,183,string
1069,fuel-system,idi,string
1069,bore,3.58,string
1069,stroke,3.64,string
1069,compression-ratio,21.5,string
1069,horsepower,123,string
1069,peak-rpm,4350,string
1069,city-mpg,22,string
1069,highway-mpg,25,string
1069,price,28248,string
1070,symboling,0,string
1070,normalized-losses,93,string
1070,make,mercedes-benz,string
1070,fuel-type,diesel,string
1070,aspiration,turbo,string
1070,num-of-doors,two,string
1070,body-style,hardtop,string
1070,drive-wheels,rwd,string
1070,engine-location,front,string
1070,wheel-base,106.7,string
1070,length,187.5,string
1070,width,70.3,string
1070,height,54.9,string
1070,curb-weight,3495,string
1070,engine-type,ohc,string
1070,num-of-cylinders,five,string
1070,engine-size,183,string
1070,fuel-system,idi,string
1070,bore,3.58,string
1070,stroke,3.64,string
1070,compression-ratio,21.5,string
1070,horsepower,123,string
1070,peak-rpm,4350,string
1070,city-mpg,22,string
1070,highway-mpg,25,string
1070,price,28176,string
1071,symboling,-1,string
1071,normalized-losses,93,string
1071,make,mercedes-benz,string
1071,fuel-type,diesel,string
1071,aspiration,turbo,string
1071,num-of-doors,four,string
1071,body-style,sedan,string
1071,drive-wheels,rwd,string
1071,engine-location,front,string
1071,wheel-base,115.6,string
1071,length,202.6,string
1071,width,71.7,string
1071,height,56.3,string
1071,curb-weight,3770,string
1071,engine-type,ohc,string
1071,num-of-cylinders,five,string
1071,engine-size,183,string
1071,fuel-system,idi,string
1071,bore,3.58,string
1071,stroke,3.64,string
1071,compression-ratio,21.5,string
1071,horsepower,123,string
1071,peak-rpm,4350,string
1071,city-mpg,22,string
1071,highway-mpg,25,string
1071,price,31600,string
1072,symboling,-1,string
1072,normalized-losses,missing value,string
1072,make,mercedes-benz,string
1072,fuel-type,gas,string
1072,aspiration,std,string
1072,num-of-doors,four,string
1072,body-style,sedan,string
1072,drive-wheels,rwd,string
1072,engine-location,front,string
1072,wheel-base,115.6,string
1072,length,202.6,string
1072,width,71.7,string
1072,height,56.5,string
1072,curb-weight,3740,string
1072,engine-type,ohcv,string
1072,num-of-cylinders,eight,string
1072,engine-size,234,string
1072,fuel-system,mpfi,string
1072,bore,3.46,string
1072,stroke,3.1,string
1072,compression-ratio,8.3,string
1072,horsepower,155,string
1072,peak-rpm,4750,string
1072,city-mpg,16,string
1072,highway-mpg,18,string
1072,price,34184,string
1073,symboling,3,string
1073,normalized-losses,142,string
1073,make,mercedes-benz,string
1073,fuel-type,gas,string
1073,aspiration,std,string
1073,num-of-doors,two,string
1073,body-style,convertible,string
1073,drive-wheels,rwd,string
1073,engine-location,front,string
1073,wheel-base,96.6,string
1073,length,180.3,string
1073,width,70.5,string
1073,height,50.8,string
1073,curb-weight,3685,string
1073,engine-type,ohcv,string
1073,num-of-cylinders,eight,string
1073,engine-size,234,string
1073,fuel-system,mpfi,string
1073,bore,3.46,string
1073,stroke,3.1,string
1073,compression-ratio,8.3,string
1073,horsepower,155,string
1073,peak-rpm,4750,string
1073,city-mpg,16,string
1073,highway-mpg,18,string
1073,price,35056,string
1074,symboling,0,string
1074,normalized-losses,missing value,string
1074,make,mercedes-benz,string
1074,fuel-type,gas,string
1074,aspiration,std,string
1074,num-of-doors,four,string
1074,body-style,sedan,string
1074,drive-wheels,rwd,string
1074,engine-location,front,string
1074,wheel-base,120.9,string
1074,length,208.1,string
1074,width,71.7,string
1074,height,56.7,string
1074,curb-weight,3900,string
1074,engine-type,ohcv,string
1074,num-of-cylinders,eight,string
1074,engine-size,308,string
1074,fuel-system,mpfi,string
1074,bore,3.8,string
1074,stroke,3.35,string
1074,compression-ratio,8,string
1074,horsepower,184,string
1074,peak-rpm,4500,string
1074,city-mpg,14,string
1074,highway-mpg,16,string
1074,price,40960,string
1075,symboling,1,string
1075,normalized-losses,missing value,string
1075,make,mercedes-benz,string
1075,fuel-type,gas,string
1075,aspiration,std,string
1075,num-of-doors,two,string
1075,body-style,hardtop,string
1075,drive-wheels,rwd,string
1075,engine-location,front,string
1075,wheel-base,112,string
1075,length,199.2,string
1075,width,72,string
1075,height,55.4,string
1075,curb-weight,3715,string
1075,engine-type,ohcv,string
1075,num-of-cylinders,eight,string
1075,engine-size,304,string
1075,fuel-system,mpfi,string
1075,bore,3.8,string
1075,stroke,3.35,string
1075,compression-ratio,8,string
1075,horsepower,184,string
1075,peak-rpm,4500,string
1075,city-mpg,14,string
1075,highway-mpg,16,string
1075,price,45400,string
1076,symboling,1,string
1076,normalized-losses,missing value,string
1076,make,mercury,string
1076,fuel-type,gas,string
1076,aspiration,turbo,string
1076,num-of-doors,two,string
1076,body-style,hatchback,string
1076,drive-wheels,rwd,string
1076,engine-location,front,string
1076,wheel-base,102.7,string
1076,length,178.4,string
1076,width,68,string
1076,height,54.8,string
1076,curb-weight,2910,string
1076,engine-type,ohc,string
1076,num-of-cylinders,four,string
1076,engine-size,140,string
1076,fuel-system,mpfi,string
1076,bore,3.78,string
1076,stroke,3.12,string
1076,compression-ratio,8,string
1076,horsepower,175,string
1076,peak-rpm,5000,string
1076,city-mpg,19,string
1076,highway-mpg,24,string
1076,price,16503,string
1077,symboling,2,string
1077,normalized-losses,161,string
1077,make,mitsubishi,string
1077,fuel-type,gas,string
1077,aspiration,std,string
1077,num-of-doors,two,string
1077,body-style,hatchback,string
1077,drive-wheels,fwd,string
1077,engine-location,front,string
1077,wheel-base,93.7,string
1077,length,157.3,string
1077,width,64.4,string
1077,height,50.8,string
1077,curb-weight,1918,string
1077,engine-type,ohc,string
1077,num-of-cylinders,four,string
1077,engine-size,92,string
1077,fuel-system,2bbl,string
1077,bore,2.97,string
1077,stroke,3.23,string
1077,compression-ratio,9.4,string
1077,horsepower,68,string
1077,peak-rpm,5500,string
1077,city-mpg,37,string
1077,highway-mpg,41,string
1077,price,5389,string
1078,symboling,2,string
1078,normalized-losses,161,string
1078,make,mitsubishi,string
1078,fuel-type,gas,string
1078,aspiration,std,string
1078,num-of-doors,two,string
1078,body-style,hatchback,string
1078,drive-wheels,fwd,string
1078,engine-location,front,string
1078,wheel-base,93.7,string
1078,length,157.3,string
1078,width,64.4,string
1078,height,50.8,string
1078,curb-weight,1944,string
1078,engine-type,ohc,string
1078,num-of-cylinders,four,string
1078,engine-size,92,string
1078,fuel-system,2bbl,string
1078,bore,2.97,string
1078,stroke,3.23,string
1078,compression-ratio,9.4,string
1078,horsepower,68,string
1078,peak-rpm,5500,string
1078,city-mpg,31,string
1078,highway-mpg,38,string
1078,price,6189,string
1079,symboling,2,string
1079,normalized-losses,161,string
1079,make,mitsubishi,string
1079,fuel-type,gas,string
1079,aspiration,std,string
1079,num-of-doors,two,string
1079,body-style,hatchback,string
1079,drive-wheels,fwd,string
1079,engine-location,front,string
1079,wheel-base,93.7,string
1079,length,157.3,string
1079,width,64.4,string
1079,height,50.8,string
1079,curb-weight,2004,string
1079,engine-type,ohc,string
1079,num-of-cylinders,four,string
1079,engine-size,92,string
1079,fuel-system,2bbl,string
1079,bore,2.97,string
1079,stroke,3.23,string
1079,compression-ratio,9.4,string
1079,horsepower,68,string
1079,peak-rpm,5500,string
1079,city-mpg,31,string
1079,highway-mpg,38,string
1079,price,6669,string
1080,symboling,1,string
1080,normalized-losses,161,string
1080,make,mitsubishi,string
1080,fuel-type,gas,string
1080,aspiration,turbo,string
1080,num-of-doors,two,string
1080,body-style,hatchback,string
1080,drive-wheels,fwd,string
1080,engine-location,front,string
1080,wheel-base,93,string
1080,length,157.3,string
1080,width,63.8,string
1080,height,50.8,string
1080,curb-weight,2145,string
1080,engine-type,ohc,string
1080,num-of-cylinders,four,string
1080,engine-size,98,string
1080,fuel-system,spdi,string
1080,bore,3.03,string
1080,stroke,3.39,string
1080,compression-ratio,7.6,string
1080,horsepower,102,string
1080,peak-rpm,5500,string
1080,city-mpg,24,string
1080,highway-mpg,30,string
1080,price,7689,string
